marca,estabelecimento
mcdonalds,MC DONALDS  PRU          
mcdonalds,MC DONALDS FTA           
mcdonalds,MC DONALDS  ALV          
mcdonalds,MC DONALDS MCA           
mcdonalds,MCDONALDSBC              
mcdonalds,MCDONALDS TAN            
mcdonalds,MC DONALDS  SCD          
mcdonalds,MC DONALDS  PRV          
mcdonalds,MC DONALDS  BAC          
mcdonalds,MC DONALDS PMI           
mcdonalds,MC DONALDS BBD           
mcdonalds,MC DONALDS  BH2          
mcdonalds,MC DONALDS ROY           
mcdonalds,MC DONALDS  ASF          
mcdonalds,MCDONALDS TERMINAL 2     
mcdonalds,MC DONALDS BOB           
mcdonalds,MC DONALDS  SPB          
mcdonalds,MC DONALDS MJ2           
mcdonalds,MC DONALDS JRU           
mcdonalds,MCDONALDS 01554          
mcdonalds,MC DONALDS GBA           
mcdonalds,MCDONALDS 785   2402947  
mcdonalds,MC DONALDS SJU           
mcdonalds,MC DONALDS  MERCES       
mcdonalds,MC DONALDS MCE           
mcdonalds,MC DONALDS  AFL          
mcdonalds,MC DONALDS VAR           
mcdonalds,MC DONALDS RIN           
mcdonalds,MC DONALDS MIS           
mcdonalds,MC DONALDS IDR           
mcdonalds,MC DONALDS  EXJ          
mcdonalds,MCDONALDS 1200           
mcdonalds,MC DONALDS  FSD          
mcdonalds,MC DONALDS BBH           
mcdonalds,MC DONALDS GI2           
mcdonalds,MC DONALDS  COL          
mcdonalds,MC DONALDS  WHI          
mcdonalds,MC DONALDS  URU          
mcdonalds,MC DONALDS  SCI          
mcdonalds,MC DONALDS AGO           
mcdonalds,MC DONALDS WIL           
mcdonalds,MC DONALDS SWV           
mcdonalds,MC DONALDS  EXM          
mcdonalds,MC DONALDS VAU           
mcdonalds,MCDONALDS PCC            
mcdonalds,MC DONALDS RPA           
mcdonalds,MC DONALDS PGB           
mcdonalds,MC DONALDS  GTP          
mcdonalds,MC DONALDS AAC           
mcdonalds,MC DONALDS  CBR          
mcdonalds,MC DONALDS  AFP          
mcdonalds,MC DONALDS AAD           
mcdonalds,MC DONALDS NDR           
mcdonalds,MC DONALDS  EXO          
mcdonalds,MC DONALDS EXTRA INTER   
mcdonalds,MC DONALDS  SCM          
mcdonalds,MC DONALDS GUS           
mcdonalds,MC DONALDS  MOG          
mcdonalds,MC DONALDS TRS           
mcdonalds,MC DONALDS  AMA          
mcdonalds,MC DONALDS CJD           
mcdonalds,MC DONALDS  CP2          
mcdonalds,MCDONALDS EBH            
mcdonalds,MC DONALDS CWB           
mcdonalds,MC DONALDS RPD           
mcdonalds,MC DONALDS  ASP          
mcdonalds,MC DONALDS  CP3          
mcdonalds,McDonalds 444 Warszawa   
mcdonalds,MC DONALDS  PSB          
mcdonalds,MC DONALDS  COS          
mcdonalds,MC DONALDS RIV           
mcdonalds,MC DONALDS-SHI           
mcdonalds,MC DONALDS AAH           
mcdonalds,MC DONALDS  SPM          
mcdonalds,MC DONALDS  EXS          
mcdonalds,MC DONALDS  FSM          
mcdonalds,MC DONALDS  LGT          
mcdonalds,MC DONALDS-GUARULHOS     
mcdonalds,MC DONALDS GOI           
mcdonalds,MC DONALDS  AME          
mcdonalds,MC DONALDS  EXT          
mcdonalds,MC DONALDS MPL           
mcdonalds,MC DONALDS-CDE 2         
mcdonalds,MCDONALDS PPG            
mcdonalds,MC DONALDS AQ3 DELIVERY  
mcdonalds,MCDONALDS 1285  2403714  
mcdonalds,MC DONALDS GBM           
mcdonalds,MC DONALDS LJ LIA        
mcdonalds,MCDONALDS BEC            
mcdonalds,MC DONALDS -AB2      2635
mcdonalds,MC DONALDS -ALE      2700
mcdonalds,MC DONALDS  BAR          
mcdonalds,MC DONALDS-TATUAPE       
mcdonalds,MC DONALDS RPI           
mcdonalds,MC DONALDS  SCS          
mcdonalds,MC DONALDS BOP           
mcdonalds,MC DONALDS  ASU          
mcdonalds,MCDONALDS ROCKDALE PL    
mcdonalds,MC DONALDS GOL           
mcdonalds,MC DONALDS ANI           
mcdonalds,MC DONALDS RPJ           
mcdonalds,MC DONALDS  COX          
mcdonalds,MC DONALDS  PSH          
mcdonalds,MC DONALDS FGV           
mcdonalds,MC DONALDS  SJD          
mcdonalds,MC DONALDS MCS           
mcdonalds,MC DONALDS JFI           
mcdonalds,MC DONALDS  PFL          
mcdonalds,MC DONALDS  BAU          
mcdonalds,MC DONALDS BOS           
mcdonalds,MC DONALDS  FST          
mcdonalds,MC DONALDS BVC           
mcdonalds,MC DONALDS DRE           
mcdonalds,MC DONALDS RPM           
mcdonalds,MC DONALDS  CVK          
mcdonalds,MC DONALDS OSD           
mcdonalds,MC DONALDS RPN           
mcdonalds,MC DONALDS GIB           
mcdonalds,EC*MCDONALDS             
mcdonalds,MC DONALDS PAA           
mcdonalds,MC DONALDS -SF2      3625
mcdonalds,MC DONALDS  BUD          
mcdonalds,MC DONALDS DRG           
mcdonalds,MC DONALDS FAL           
mcdonalds,MC DONALDS BOAVISTA      
mcdonalds,MCDONALDS CFR            
mcdonalds,MCDONALDS JBO            
